"pub47"|"make"|"model"|"type"|"serial_number"|"parameter"|"reference"
"SANOH/000109"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"000109"|"SLP"|"NA"
"SANOH/000118"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"000118"|"SLP"|"NA"
"SANOH/000214"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"000214"|"SLP"|"NA"
"SANOH/000253"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"000253"|"SLP"|"NA"
"SANOH/000500"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"000500"|"SLP"|"NA"
"SANOH/00505"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"00505"|"SLP"|"NA"
"SANOH/007559"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"007559"|"SLP"|"NA"
"SANOH/008334"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"008334"|"SLP"|"NA"
"SANOH/008558"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"008558"|"SLP"|"NA"
"SANOH/008929"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"008929"|"SLP"|"NA"
"SANOH/009050"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"009050"|"SLP"|"NA"
"SANOH/7607"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7607"|"SLP"|"NA"
"SANOH/S8"|"SANOH INSTRUMENT CO. LTD."|"S8"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SANOH/UNKNOWN"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SANOHCO."|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SANOHCO.LTD"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SANOHCo.LTD"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SATO 037973"|"SATO KEIRYOKI"|"UNKNOWN"|"UNKNOWN"|"037973"|"SLP"|"NA"
"SATO 87340"|"SATO KEIRYOKI"|"UNKNOWN"|"UNKNOWN"|"87340"|"SLP"|"NA"
"SATO KEIKI/UNKNOWN"|"SATO KEIRYOKI"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"SATO KEIRSOKI (JAPAN) 553"|"SATO KEIRYOKI"|"553"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SATO KEIRSOKI / JAPAN 553"|"SATO KEIRYOKI"|"553"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SATO KEIRSOKI / JAPAN 560"|"SATO KEIRYOKI"|"560"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SATO KEIRYOKI  560"|"SATO KEIRYOKI"|"560"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SATO KEIRYOKI - modelSIGMA"|"SATO KEIRYOKI"|"SIGMA II"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SATO KEIRYOKI / JAPAN 560"|"SATO KEIRYOKI"|"560"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SATO KEIRYOKI / SIGMA II"|"SATO KEIRYOKI"|"SIGMA II"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SATO KEIRYOKI/565042"|"SATO KEIRYOKI"|"UNKNOWN"|"UNKNOWN"|"565042"|"SLP"|"NA"
"SATO KEIRYOKO / JAPAN 560"|"SATO KEIRYOKI"|"560"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SATO KEIRYOKTMFG. COLTD"|"SATO KEIRYOKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SATO KEIRYOUKI/037973"|"SATO KEIRYOKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SATO KEIRYOUKI/566250"|"SATO KEIRYOKI"|"UNKNOWN"|"UNKNOWN"|"566250"|"SLP"|"NA"
"SATO KEIYOKI JAPAN560"|"SATO KEIRYOKI"|"560"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SATO KEIYOKI"|"SATO KEIRYOKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SATO Keiryoki MFG. CO. LTD 553"|"SATO KEIRYOKI"|"553"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SATO Keiryoki MFG. CO. LTD 560"|"SATO KEIRYOKI"|"560"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SATO Keiryoki MFG. CO. LTD"|"SATO KEIRYOKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SATO"|"SATO KEIRYOKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SATO/037973"|"SATO KEIRYOKI"|"UNKNOWN"|"UNKNOWN"|"037973"|"SLP"|"NA"
